"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","TC-CP-01: Change Password heading is correct @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Change Password Validations","changepasswordvalidation.spec.ts","",""
"","2382","TC-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy Limit Order & Open Orders Validation","trade/spotBuyLimitOrder.spec.ts","",""
"","8439","coin detail page shows coin name, Overview tab and Primary balance tab @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Module — Coin Detail Page","portfolio/coinDetail.spec.ts","",""
"","5696","TC-RT-05: capture available balance before placing the sell order @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","7850","coin detail page shows a live price and a price change percentage @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Module — Coin Detail Page","portfolio/coinDetail.spec.ts","",""
"","7250","TC-RT-02: select the trading pair and capture available balance before placing the buy order @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","18","back button is visible on portfolio page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Overview Page","portfolio/overview.spec.ts","",""
"","16108","login test @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","","loginpage.spec.ts","",""
"","6353","TC-RT-03: place a buy limit order above market price — fills immediately @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","6219","TC-RT-06: place a sell limit order (below market) for the CSV-configured sell total — fills immediately @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","2018","TC-RT-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","1191","TC-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Market Sell Order Positive Flow","trade/spotMarketSellOrder.spec.ts","",""
"","3369","TC-02: Spot Trading page shows all expected labels @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Market Buy Order Positive Flow","trade/spotMarketBuyOrder.spec.ts","",""
"","3622","TC-02: Spot Trading page shows all expected labels @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Market Sell Order Positive Flow","trade/spotMarketSellOrder.spec.ts","",""
"","3418","TC-02: Spot Trading page shows all expected labels @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy Limit Order & Open Orders Validation","trade/spotBuyLimitOrder.spec.ts","",""
"","3821","TC-F01: Login with valid credentials lands on the home page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Funding Page","portfolio/funding.spec.ts","",""
"","3376","TC-02: Spot Trading page shows all expected labels @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Sell Limit Order Positive Flow","trade/spotSellLimitOrder.spec.ts","",""
"","12167","TC-RT-07: available balance after the sell order matches expected (base decreased, quote restored) @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","2462","TC-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Sell Limit Order Positive Flow","trade/spotSellLimitOrder.spec.ts","",""
"","11931","TC-RT-04: available balance after the buy order matches expected (quote decreased, base increased) @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","1441","2. home page title should be KNOOZ @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Home Page","homepage.spec.ts","",""
"","2378","TC-F02: Navigate Portfolio > Spot > Funding tab loads the Funding table @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Funding Page > Funding tab","portfolio/funding.spec.ts","",""
"","9","estimated balance label is visible @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Overview Page","portfolio/overview.spec.ts","",""
"","7577","1. home page loads at the correct URL @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Home Page","homepage.spec.ts","",""
"","2045","TC-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Market Buy Order Positive Flow","trade/spotMarketBuyOrder.spec.ts","",""
