"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","My Assets heading is visible @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Overview Page","portfolio/overview.spec.ts","",""
"","2","TC-07: enter market buy order amount (total to spend), verify fee @sanity","chromium","2026-07-13","skipped","2026-07-13","Spot Module — Market Buy Order Positive Flow","trade/spotMarketBuyOrder.spec.ts","",""
"","600","TC-F05: Funding table headers are all visible @sanity","chromium","2026-07-13","passed","2026-07-13","Portfolio Funding Page > Funding tab","portfolio/funding.spec.ts","",""
"","3","TC-26: enter sell limit price and amount, verify estimated fee @sanity","chromium","2026-07-13","skipped","2026-07-13","Spot Module — Sell Limit Order Positive Flow","trade/spotSellLimitOrder.spec.ts","",""
"","6","TC-18: Buy button label shows ""BUY {baseCoin}"" dynamically @sanity","chromium","2026-07-13","skipped","2026-07-13","Spot Module — Buy Limit Order & Open Orders Validation","trade/spotBuyLimitOrder.spec.ts","",""
"","8","TC-03e: order book LTP and buy/sell ratio bar (suggestions — not yet implemented) @sanity","chromium","2026-07-13","skipped","2026-07-13","Spot Module — Market Buy Order Positive Flow","trade/spotMarketBuyOrder.spec.ts","",""
"","9","TC-10: order book precision dropdown changes price decimal places across all views @sanity","chromium","2026-07-13","skipped","2026-07-13","Spot Module — Buy Limit Order & Open Orders Validation","trade/spotBuyLimitOrder.spec.ts","",""
"","1594","TC-RT-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Buy/Sell Round-Trip Smoke & Sanity Flow","trade/spottraderoundtrip.spec.ts","",""
"","9","TC-09: order book view switches — all / sell-only / buy-only @sanity","chromium","2026-07-13","skipped","2026-07-13","Spot Module — Buy Limit Order & Open Orders Validation","trade/spotBuyLimitOrder.spec.ts","",""
"","2172","TC-01: navigate to Spot Trading page @smoke @sanity","chromium","2026-07-13","passed","2026-07-13","Spot Module — Market Sell Order Positive Flow","trade/spotMarketSellOrder.spec.ts","",""
