[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62319.88","62319.89"] | Bid: ["62319.87","62319.86"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62317.94","62317.95"] | Bid: ["62317.93","62317.92"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62317.94","62317.95"] | Bid: ["62317.93","62317.92"]
[TC-03d] Precision: 0.1 | View: all | Max Decimals: 1 | Ask: ["62318.0","62319.9"] | Bid: ["62317.9","62316.0"]
[TC-03d] Precision: 0.1 | View: sell | Max Decimals: 1 | Ask: ["62318.0","62319.9"] | Bid: ["62317.9","62316.0"]
[TC-03d] Precision: 0.1 | View: buy | Max Decimals: 1 | Ask: ["62318.0","62319.9"] | Bid: ["62317.9","62316.0"]
[TC-03d] Precision: 1 | View: all | Max Decimals: 0 | Ask: ["62318","62320"] | Bid: ["62317","62316"]
[TC-03d] Precision: 1 | View: sell | Max Decimals: 0 | Ask: ["62318","62320"] | Bid: ["62317","62316"]
[TC-03d] Precision: 1 | View: buy | Max Decimals: 0 | Ask: ["62318","62320"] | Bid: ["62317","62316"]
[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62317.94","62317.95"] | Bid: ["62317.93","62317.92"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62317.94","62317.95"] | Bid: ["62317.93","62317.92"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62317.94","62317.95"] | Bid: ["62317.93","62317.92"]
