[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62280.21","62280.22"] | Bid: ["62280.20","62280.19"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62280.21","62280.22"] | Bid: ["62280.20","62280.19"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62278.05","62278.06"] | Bid: ["62278.04","62278.03"]
[TC-03d] Precision: 0.1 | View: all | Max Decimals: 1 | Ask: ["62272.6","62272.7"] | Bid: ["62272.5","62272.4"]
[TC-03d] Precision: 0.1 | View: sell | Max Decimals: 1 | Ask: ["62272.6","62272.7"] | Bid: ["62272.5","62272.4"]
[TC-03d] Precision: 0.1 | View: buy | Max Decimals: 1 | Ask: ["62272.6","62272.7"] | Bid: ["62272.5","62272.4"]
[TC-03d] Precision: 1 | View: all | Max Decimals: 0 | Ask: ["62273","62276"] | Bid: ["62272","62271"]
[TC-03d] Precision: 1 | View: sell | Max Decimals: 0 | Ask: ["62273","62276"] | Bid: ["62272","62271"]
[TC-03d] Precision: 1 | View: buy | Max Decimals: 0 | Ask: ["62273","62275"] | Bid: ["62272","62271"]
[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62265.06","62265.07"] | Bid: ["62265.05","62265.04"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62265.06","62265.07"] | Bid: ["62265.05","62265.04"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62272.00","62272.01"] | Bid: ["62271.99","62271.98"]
