[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62022.02","62022.03"] | Bid: ["62022.01","62022.00"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62017.83","62017.84"] | Bid: ["62017.82","62017.81"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62017.83","62017.84"] | Bid: ["62017.82","62017.81"]
[TC-03d] Precision: 0.1 | View: all | Max Decimals: 1 | Ask: ["62025.0","62025.2"] | Bid: ["62024.9","62024.9"]
[TC-03d] Precision: 0.1 | View: sell | Max Decimals: 1 | Ask: ["62020.1","62020.4"] | Bid: ["62020.0","62020.0"]
[TC-03d] Precision: 0.1 | View: buy | Max Decimals: 1 | Ask: ["62020.1","62020.4"] | Bid: ["62020.0","62020.0"]
[TC-03d] Precision: 1 | View: all | Max Decimals: 0 | Ask: ["62021","62022"] | Bid: ["62020","62019"]
[TC-03d] Precision: 1 | View: sell | Max Decimals: 0 | Ask: ["62021","62022"] | Bid: ["62020","62019"]
[TC-03d] Precision: 1 | View: buy | Max Decimals: 0 | Ask: ["62030","62031"] | Bid: ["62029","62028"]
[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62023.75","62023.76"] | Bid: ["62023.74","62023.73"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62023.75","62023.76"] | Bid: ["62023.74","62023.73"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62023.75","62023.76"] | Bid: ["62023.74","62023.73"]
