[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62156.78","62156.79"] | Bid: ["62156.77","62156.76"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62156.78","62156.79"] | Bid: ["62156.77","62156.76"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62156.78","62156.79"] | Bid: ["62156.77","62156.76"]
[TC-03d] Precision: 0.1 | View: all | Max Decimals: 1 | Ask: ["62156.7","62156.8"] | Bid: ["62156.7","62156.0"]
[TC-03d] Precision: 0.1 | View: sell | Max Decimals: 1 | Ask: ["62156.7","62156.8"] | Bid: ["62156.7","62156.0"]
[TC-03d] Precision: 0.1 | View: buy | Max Decimals: 1 | Ask: ["62156.7","62156.8"] | Bid: ["62156.7","62156.0"]
[TC-03d] Precision: 1 | View: all | Max Decimals: 0 | Ask: ["62155","62156"] | Bid: ["62154","62153"]
[TC-03d] Precision: 1 | View: sell | Max Decimals: 0 | Ask: ["62155","62156"] | Bid: ["62154","62153"]
[TC-03d] Precision: 1 | View: buy | Max Decimals: 0 | Ask: ["62155","62156"] | Bid: ["62154","62153"]
[TC-03d] Precision: 0.01 | View: all | Max Decimals: 2 | Ask: ["62154.99","62155.00"] | Bid: ["62154.98","62154.97"]
[TC-03d] Precision: 0.01 | View: sell | Max Decimals: 2 | Ask: ["62154.99","62155.00"] | Bid: ["62154.98","62154.97"]
[TC-03d] Precision: 0.01 | View: buy | Max Decimals: 2 | Ask: ["62156.78","62156.79"] | Bid: ["62156.77","62156.76"]
